direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
"AVDA. DE MADRID, 77",L-D: 07:00-22:30,42.851111,BECERREA,-7.153056,Becerreá,1.728,1.45,,,1.778,,1.918,LUGO,E.S.RUTANCARES S.L.
"N-VI km 529,6",L-D: 07:00-23:00,43.172722,BEGONTE,-7.766167,Begonte,1.709,1.419,,,1.759,,,LUGO,VALCARCE
"CARRETERA RABADE- VILLALBA KM. 9,8",L-V: 06:00-23:00; S-D: 07:00-23:00,43.212667,BEGONTE,-7.655694,Begonte,1.579,,1.629,,1.639,,1.769,LUGO,PETROCASH FONTEFRIA
"AVENIDA ARCADIO PARDIÑAS, 201",L-D: 07:00-23:00,43.651333,BURELA,-7.353889,Burela,1.729,,1.789,,1.799,,1.919,LUGO,GALP
"AVENIDA DO PERDOURO, 27",L-D: 24H,43.645056,BURELA,-7.348611,Burela,1.629,,,,1.699,,,LUGO,PETROPRIX
"CARRETERA 540, KM65 KM. 0",L-D: 07:00-23:00,42.541278,BARRELA (A),-7.8125,Carballedo,1.719,1.398,1.769,,1.769,,,LUGO,REPSOL
"CARRETERA CARTELOS S/Nº KM. 1,200",L-V: 09:30-14:00 y 16:00-19:00; S: 10:00-14:00,42.544667,CARBALLEDO,-7.824278,Carballedo,,1.239,,,,,,LUGO,AIRA
"POLIGONO CASTRO RIBERAS DE LEA, 44",L: 24H,43.139556,CASTRO DE RIBEIRAS DE LEA,-7.509556,Castro de Rei,1.615,,,,1.688,,,LUGO,CANDO
"AVENIDA TERRA CHA, S/N",L-S: 07:00-23:00; D: 08:00-23:00,43.137833,CASTRO DE RIBEIRAS DE LEA,-7.492611,Castro de Rei,1.729,1.436,1.809,,1.779,,,LUGO,REPSOL
DE LUGO A GONTAN A CASTRO DE REI km 9,L-D: 24H,43.207806,CASTRO DE REI,-7.409194,Castro de Rei,1.629,1.419,,,1.729,,1.859,LUGO,CAMPO DA CRUZ
"POLIGONO INDUSTRIAL DE CASTROVERDE, 20",L-S: 09:00-21:00; D: 10:00-20:00,43.009028,CASTROVERDE,-7.344417,Castroverde,1.629,,,,1.699,,,LUGO,ARIOSA
CARRETERA COMARCAL 630 KM.,L-D: 07:00-23:00,43.030139,CASTROVERDE,-7.326361,Castroverde,1.759,1.439,1.809,,1.799,,,LUGO,ESTACION DE SERVICIO LA FORTALEZA
"N-642 km 3,9",L-S: 07:00-22:30; D: 09:00-22:00,43.674861,CERVO,-7.421278,Cervo,1.739,,1.799,,1.809,,1.939,LUGO,REPSOL
"AVENIDA LUGO (DE), 99",L-D: 07:00-23:00,42.612528,CHANTADA,-7.766,Chantada,1.739,1.398,1.809,,1.769,,1.889,LUGO,REPSOL
"CARRETERA CTRA. DE OURENSE, S/N KM. 57,4",L-D: 07:00-23:00,42.604167,CHANTADA,-7.770333,Chantada,1.739,1.408,1.809,,1.769,,1.889,LUGO,"AMMNSA, S.L."
"CARRETERA SOBREIRA KM. 2,5",L-D: 07:00-00:00,42.62125,SOBREIRA,-7.787361,Chantada,1.629,1.239,,,1.709,,,LUGO,AIRA OIL
AUTOVIA A-6 KM. 485,L-D: 24H,42.965306,CORGO (O),-7.457528,Corgo (O),1.755,,1.835,,1.769,,1.901,LUGO,CEPSA
"CTRA. C-546 PK km 8,2",L-D: 07:00-22:00,42.901972,CORGO (O),-7.46475,Corgo (O),1.659,1.399,,,1.729,,1.899,LUGO,LIBRE
AUTOVIA A-6 KM. 485,L-D: 24H,42.965417,CORGO (O),-7.454778,Corgo (O),1.755,,1.835,,1.769,,1.901,LUGO,CEPSA
AUTOVIA A6 KM. 479,L-D: 24H,42.940306,GOMEAN,-7.393611,Corgo (O),1.759,,1.839,,1.809,,1.939,LUGO,REPSOL
"CARRETERA LU-120 KM. 20,8",L-D: 07:00-23:00,43.253583,MUIMENTA,-7.432972,Cospeito,1.779,1.429,1.839,,1.769,,1.899,LUGO,REPSOL
"AVENIDA CIDADE DE VERIA,",L-D: 08:00-22:00,43.2365,COSPEITO,-7.554111,Cospeito,1.769,1.429,1.829,,1.799,,,LUGO,REPSOL
